# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,60.013624,0.096308,60.013624,0.096308,60.013624,0.096308
60,56.743869,0.070824,58.923706,0.078423,56.471390,0.053016
110,57.833787,0.060496,64.782016,0.165676,60.422343,0.070795
160,56.948229,0.146437,66.280654,0.196021,61.716621,0.163627
210,58.855586,0.154856,65.735695,0.185511,63.555858,0.172799
260,59.468665,0.162604,64.577657,0.167867,64.509537,0.164735
310,60.490463,0.172315,65.940054,0.185678,64.850136,0.147941
360,62.465940,0.182193,67.302452,0.180176,64.509537,0.160197
410,61.103542,0.182451,66.689373,0.170516,65.531335,0.161520
460,61.648501,0.190060,66.144414,0.175934,65.395095,0.147277
