# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,56.062670,0.029168,56.062670,0.029168,56.062670,0.029168
60,57.629428,0.088076,61.444142,0.167375,56.471390,0.053016
110,61.103542,0.197599,63.147139,0.179744,60.422343,0.070795
160,63.487738,0.196593,63.692098,0.199623,61.716621,0.163627
210,64.032698,0.152671,63.828338,0.207239,63.555858,0.172799
260,65.531335,0.178716,64.237057,0.228150,64.509537,0.164735
310,65.531335,0.152539,63.555858,0.210271,64.850136,0.147941
360,65.395095,0.153905,64.577657,0.189334,64.509537,0.160197
410,66.212534,0.162671,66.485014,0.187278,65.531335,0.161520
460,67.370572,0.163639,66.212534,0.186979,65.395095,0.147277
