# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,44.209809,0.034879,44.209809,0.034879,44.209809,0.034879
60,56.948229,0.073104,54.155313,0.085268,56.471390,0.053016
110,62.397820,0.146688,61.444142,0.138361,60.422343,0.070795
160,63.010899,0.113025,64.032698,0.216557,61.716621,0.163627
210,64.509537,0.117208,65.463215,0.201147,63.555858,0.172799
260,63.419619,0.136981,66.076294,0.191316,64.032698,0.170387
310,64.713896,0.160062,67.506812,0.168311,64.713896,0.142612
360,64.237057,0.156408,64.918256,0.186526,64.509537,0.152176
410,65.667575,0.143478,65.122616,0.179140,65.258856,0.155487
460,66.144414,0.162273,65.122616,0.177871,65.871935,0.150173
