# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,45.027248,0.053143,45.027248,0.053143,45.027248,0.053143
60,56.607629,0.029898,58.038147,0.129630,56.471390,0.053016
110,63.760218,0.104901,59.673025,0.142927,60.422343,0.070795
160,61.989101,0.113462,63.351499,0.153980,61.716621,0.163627
210,61.784741,0.071972,65.599455,0.187476,63.555858,0.172799
260,61.716621,0.064656,64.782016,0.183766,64.509537,0.164735
310,65.054496,0.107901,65.871935,0.182775,64.850136,0.147941
360,64.373297,0.106203,65.871935,0.175188,64.713896,0.159556
410,63.419619,0.092715,65.667575,0.184636,65.326975,0.155843
460,65.395095,0.108787,65.463215,0.180820,65.599455,0.144991
