# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,53.133515,0.087886,53.133515,0.087886,53.133515,0.087886
60,52.929155,0.036527,55.858311,0.038376,56.471390,0.053016
110,60.217984,0.084646,57.629428,0.053171,60.422343,0.070795
160,62.125341,0.145365,61.920981,0.072008,61.716621,0.163627
210,60.762943,0.168085,66.961853,0.156540,63.555858,0.172799
260,63.692098,0.168289,63.623978,0.124366,64.509537,0.164735
310,65.326975,0.170183,66.144414,0.168231,64.850136,0.147941
360,66.689373,0.160894,66.825613,0.173991,64.509537,0.160197
410,68.051771,0.183471,66.757493,0.169278,65.531335,0.161520
460,67.643052,0.190539,66.553134,0.176029,65.395095,0.147277
