,0
0,-2.4017094886951362
1,-2.402029062280502
2,-0.09938317652559227
3,-2.4022457622447244
4,-0.09938317652559227
5,-2.4024447864481813
6,-0.09938317652559227
7,-2.402656531348812
8,-0.09938317652559227
9,-2.402863773003648
10,-0.09938317652559227
11,-2.40314782216053
12,-0.09938317652559227
13,-0.09938317652559227
14,-0.09938317652559227
15,-0.09938317652559227
16,-0.09938317652559227
17,-2.403428886272253
18,-2.4036361093685423
19,-0.09938317652559227
20,-0.09938317652559227
21,-2.4038670765400214
22,-0.09938317652559227
23,-0.09938317652559227
24,-2.4040719895064306
25,-0.09938317652559227
26,-2.404304842703946
27,-0.09938317652559227
28,-0.09938317652559227
29,-0.09938317652559227
30,-0.09938317652559227
31,-0.09938317652559227
32,-0.09938317652559227
33,-0.09938317652559227
34,-0.09938317652559227
35,-0.09938317652559227
36,-0.09938317652559227
37,-2.404468699284691
38,-0.09938317652559227
39,-0.09938317652559227
40,-2.4046145782626134
41,-0.09938317652559227
42,-0.09938317652559227
43,-2.404831528654421
44,-2.4050138902481115
45,-0.09938317652559227
46,-2.405236436608898
47,-2.4054831170384117
48,-0.09938317652559227
49,-0.09938317652559227
50,-2.4057194527530483
51,-2.405937189122399
52,-0.09938317652559227
53,-0.09938317652559227
54,-0.09938317652559227
55,-0.09938317652559227
56,-0.09938317652559227
57,-2.406078016663278
58,-0.09938317652559227
59,-2.406238072308936
60,-2.406329701017322
61,-0.09938317652559227
62,-0.09938317652559227
63,-0.09938317652559227
64,-0.09938317652559227
65,-2.4064055732526044
66,-0.09938317652559227
67,-2.406472865526953
68,-2.4065390335538472
69,-2.4065650194610835
70,-0.09938317652559227
71,-0.09938317652559227
72,-0.09938317652559227
73,-2.4066092653234117
74,-0.09938317652559227
75,-0.09938317652559227
76,-2.406613807834802
77,-2.406676793031305
78,-2.406767579553305
79,-0.09938317652559227
80,-0.09938317652559227
81,-0.09938317652559227
82,-2.406796305708863
83,-0.09938317652559227
84,-0.09938317652559227
85,-0.09938317652559227
86,-0.09938317652559227
87,-0.09938317652559227
88,-2.406809456075575
89,-0.09938317652559227
90,-2.406845071240996
91,-0.09938317652559227
92,-0.09938317652559227
93,-0.09938317652559227
94,-0.09938317652559227
95,-0.09938317652559227
96,-0.09938317652559227
97,-0.09938317652559227
98,-0.09938317652559227
99,-0.09938317652559227
100,-0.09938317652559227
101,-2.406911402741518
102,-2.407061295902068
103,-0.09938317652559227
104,-0.09938317652559227
105,-0.09938317652559227
106,-0.09938317652559227
107,-2.407180703112192
108,-0.09938317652559227
109,-0.09938317652559227
110,-0.09938317652559227
111,-0.09938317652559227
112,-2.407336082902223
113,-2.40745535495547
114,-0.09938317652559227
115,-2.4075080748226596
116,-0.09938317652559227
117,-0.09938317652559227
118,-2.4075692832120508
119,-0.09938317652559227
120,-2.407672959825393
121,-0.09938317652559227
122,-0.09938317652559227
123,-0.09938317652559227
124,-0.09938317652559227
125,-0.09938317652559227
126,-0.09938317652559227
127,-0.09938317652559227
128,-0.09938317652559227
129,-2.407810251352733
130,-0.09938317652559227
131,-0.09938317652559227
132,-0.09938317652559227
133,-2.4079589563585215
134,-2.4081199818858647
135,-2.408254061253212
136,-2.4084124381887855
