# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,41.757493,0.005800,41.757493,0.005800,41.757493,0.005800
20,40.190736,0.011670,51.566757,0.000001,52.724796,0.001472
30,54.427793,0.000222,53.133515,0.000269,58.378747,0.008790
40,54.359673,0.001055,59.196185,0.004984,58.719346,0.009463
50,56.335150,0.000911,60.286104,0.010242,57.901907,0.003310
60,56.471390,0.000998,63.555858,0.022795,56.471390,0.001425
70,56.471390,0.001485,60.899183,0.014327,56.267030,0.001369
80,57.288828,0.001072,61.171662,0.016793,57.152589,0.001617
90,58.038147,0.000454,64.441417,0.023897,59.809264,0.004597
100,57.629428,0.000582,64.441417,0.022873,60.762943,0.003163
110,56.607629,0.000817,64.850136,0.024526,60.422343,0.004084
120,59.196185,0.009032,63.828338,0.019619,59.877384,0.010991
130,52.724796,0.000000,62.534060,0.018687,58.787466,0.010025
140,59.945504,0.010958,62.942779,0.021418,59.264305,0.012917
150,60.626703,0.011364,61.580381,0.016205,61.307902,0.014990
160,60.626703,0.010663,61.716621,0.016417,62.602180,0.016630
170,60.490463,0.012064,64.168937,0.018189,63.487738,0.016277
180,60.558583,0.011251,64.032698,0.013582,65.463215,0.018070
190,60.558583,0.011251,63.283379,0.014086,65.326975,0.019951
200,60.286104,0.011110,63.623978,0.012960,64.850136,0.018955
