# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,44.754768,0.004652,44.754768,0.004652,44.754768,0.004652
20,48.910082,0.001911,56.675749,0.001962,54.155313,0.004271
30,45.504087,0.002025,57.288828,0.002279,56.811989,0.010473
40,47.070845,0.002552,59.264305,0.004407,55.449591,0.008868
50,54.836512,0.000620,60.081744,0.007054,56.811989,0.004563
60,56.880109,0.003079,58.242507,0.016232,57.697548,0.004029
70,52.997275,0.002418,59.877384,0.016147,55.722071,0.000900
80,52.247956,0.001482,58.174387,0.010980,57.425068,0.002042
90,56.743869,0.004275,58.174387,0.008088,59.264305,0.003969
100,57.833787,0.001652,57.016349,0.005341,60.354223,0.004193
110,57.288828,0.000795,61.307902,0.013589,60.081744,0.008136
120,58.106267,0.001033,58.514986,0.009765,59.196185,0.012872
130,57.901907,0.000994,56.811989,0.005814,58.719346,0.011680
140,57.833787,0.001115,62.942779,0.015329,59.264305,0.010845
150,56.948229,0.004281,61.580381,0.015583,60.286104,0.014201
160,56.743869,0.004046,63.147139,0.017487,62.670300,0.017858
170,58.174387,0.001725,63.215259,0.020425,63.147139,0.019652
180,58.106267,0.002334,62.874659,0.019199,65.258856,0.021237
190,57.356948,0.003582,62.670300,0.016749,65.326975,0.021076
200,57.425068,0.003424,62.261580,0.016296,64.168937,0.021254
210,58.446866,0.002375,62.602180,0.018524,64.373297,0.020603
220,58.514986,0.002473,63.419619,0.021276,64.373297,0.020142
230,58.310627,0.001399,63.215259,0.019076,64.441417,0.018708
240,57.084469,0.005563,62.874659,0.017864,64.986376,0.018650
250,58.242507,0.003763,63.215259,0.017106,64.168937,0.021844
260,58.719346,0.003075,62.942779,0.015510,64.577657,0.019660
270,58.242507,0.001928,63.692098,0.017880,64.577657,0.020179
280,58.242507,0.001928,63.896458,0.017162,64.782016,0.019148
290,57.901907,0.001935,63.760218,0.017688,63.896458,0.017425
300,58.038147,0.003025,63.964578,0.017249,65.190736,0.014408
310,58.174387,0.002488,65.122616,0.014774,64.986376,0.014174
320,57.833787,0.002695,64.713896,0.014955,64.782016,0.013376
330,57.970027,0.001664,64.645777,0.012398,65.122616,0.015510
340,58.106267,0.001905,64.713896,0.013151,64.713896,0.013388
350,57.833787,0.001467,64.850136,0.012384,65.258856,0.016965
360,58.446866,0.002805,64.986376,0.014705,65.395095,0.016712
370,58.106267,0.002365,64.986376,0.015915,65.395095,0.015445
380,57.629428,0.003087,64.850136,0.016644,65.190736,0.014913
390,58.174387,0.002921,65.054496,0.016734,65.054496,0.016097
400,58.651226,0.001980,65.395095,0.017179,65.940054,0.017001
410,58.310627,0.001849,65.599455,0.016510,65.531335,0.015868
420,59.059946,0.002909,65.463215,0.015404,65.871935,0.016619
430,58.719346,0.002746,65.871935,0.017149,65.326975,0.017292
440,59.128065,0.002339,65.599455,0.016828,65.803815,0.015762
450,58.991826,0.002776,65.735695,0.016024,66.076294,0.016631
460,59.128065,0.002567,65.735695,0.016483,66.144414,0.015607
470,59.128065,0.002722,65.326975,0.018613,65.803815,0.015513
480,59.059946,0.003522,65.395095,0.018724,66.144414,0.017321
490,58.651226,0.003343,65.463215,0.018415,65.599455,0.015773
500,58.923706,0.002793,66.076294,0.016273,66.076294,0.016904
