# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,41.757493,0.005800,41.757493,0.005800,41.757493,0.005800
20,40.190736,0.011670,51.771117,0.005617,52.724796,0.001472
30,56.743869,0.002875,57.970027,0.000991,58.378747,0.008790
40,55.517711,0.001374,57.016349,0.000499,58.719346,0.009463
50,55.449591,0.001374,58.378747,0.001270,57.901907,0.003310
60,56.403270,0.001022,58.583106,0.004106,56.471390,0.001425
70,56.675749,0.002523,58.787466,0.004228,56.267030,0.001369
80,56.880109,0.003279,60.149864,0.009117,57.152589,0.001617
90,57.561308,0.002311,59.809264,0.006349,59.809264,0.004597
100,58.446866,0.000551,58.787466,0.005709,60.762943,0.003163
110,57.765668,0.000475,60.081744,0.004533,60.422343,0.004084
120,57.833787,0.000512,61.376022,0.004861,59.877384,0.010991
130,56.607629,0.000465,62.329700,0.004350,58.787466,0.010025
140,57.697548,0.000365,61.648501,0.002406,59.264305,0.012917
150,56.811989,0.000455,60.899183,0.001627,61.307902,0.014990
160,57.016349,0.000486,62.397820,0.001818,62.602180,0.016630
170,56.675749,0.000386,63.692098,0.004136,63.487738,0.016277
180,57.765668,0.000360,63.964578,0.005711,65.463215,0.018070
190,57.016349,0.000476,63.147139,0.009297,65.326975,0.019951
200,57.016349,0.000486,61.852861,0.007864,64.850136,0.018955
