# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,53.474114,0.001039,53.474114,0.001039,53.474114,0.001039
60,57.016349,0.005363,59.809264,0.009219,56.471390,0.001425
110,60.149864,0.007434,57.356948,0.002648,60.422343,0.004084
160,61.239782,0.008305,59.400545,0.015389,61.716621,0.015978
210,62.806540,0.017628,58.174387,0.014311,63.555858,0.018627
260,64.168937,0.017731,65.395095,0.018596,64.509537,0.017640
310,63.555858,0.019650,66.553134,0.022391,64.850136,0.014038
360,64.713896,0.015277,65.463215,0.020072,64.509537,0.015950
410,65.599455,0.019615,65.258856,0.018397,65.531335,0.016687
460,65.667575,0.021819,65.190736,0.018970,65.395095,0.014481
