# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,46.389646,0.000474,46.389646,0.000474,46.389646,0.000474
60,60.013624,0.010425,62.329700,0.020298,56.471390,0.001425
110,61.648501,0.013470,63.623978,0.024338,60.422343,0.004084
160,64.032698,0.014255,62.806540,0.016749,61.716621,0.015978
210,63.351499,0.015138,62.125341,0.017138,63.555858,0.018627
260,63.283379,0.018190,62.329700,0.016183,64.509537,0.017640
310,63.555858,0.019013,64.237057,0.021527,64.850136,0.014038
360,63.964578,0.018309,65.258856,0.021803,64.577657,0.014376
410,64.373297,0.015370,66.144414,0.025152,65.258856,0.015571
460,66.008174,0.013634,66.212534,0.024472,65.735695,0.015171
