# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,58.923706,0.002658,58.923706,0.002658,58.923706,0.002658
60,58.651226,0.010370,60.149864,0.014363,56.471390,0.001425
110,61.648501,0.013349,63.010899,0.021463,60.422343,0.004084
160,62.397820,0.015617,64.509537,0.018728,61.444142,0.015446
210,63.828338,0.012689,64.645777,0.019863,63.760218,0.018528
260,63.760218,0.011706,66.416894,0.021177,64.032698,0.018806
310,64.782016,0.013115,66.076294,0.022848,64.850136,0.013845
360,64.782016,0.015010,66.893733,0.021508,64.441417,0.015077
410,65.326975,0.015950,66.689373,0.018474,65.122616,0.015075
460,65.871935,0.017249,66.757493,0.019900,65.803815,0.015669
