# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,46.866485,0.001249,46.866485,0.001249,46.866485,0.001249
60,58.991826,0.004684,59.741144,0.012842,56.198910,0.000866
110,63.419619,0.012602,58.923706,0.014608,60.422343,0.004084
160,63.215259,0.017585,62.670300,0.016456,61.784741,0.017210
210,62.465940,0.014215,62.670300,0.019154,64.100817,0.019457
260,63.964578,0.016153,62.057221,0.018392,63.896458,0.018142
310,64.237057,0.015312,62.806540,0.021455,65.054496,0.014231
360,66.212534,0.019174,64.918256,0.020210,64.986376,0.016165
410,65.735695,0.018883,66.008174,0.018951,65.190736,0.016274
460,66.416894,0.022389,66.280654,0.017321,65.599455,0.014979
