# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,43.596730,0.002878,43.596730,0.002878,43.596730,0.002878
60,52.384196,0.008382,57.901907,0.010742,56.471390,0.001425
110,57.970027,0.020370,63.692098,0.012466,60.422343,0.004084
160,61.784741,0.013763,62.806540,0.019858,61.716621,0.015978
210,65.122616,0.014533,63.760218,0.016916,63.555858,0.018627
260,64.373297,0.017565,66.689373,0.020980,63.964578,0.017685
310,66.280654,0.019627,66.757493,0.015153,64.645777,0.013385
360,66.008174,0.018150,65.463215,0.014477,64.645777,0.015543
410,65.395095,0.019100,65.258856,0.013103,65.122616,0.015563
460,66.076294,0.018452,65.463215,0.015264,65.667575,0.013997
