# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,49.455041,0.000928,49.455041,0.000928,49.455041,0.000928
60,62.057221,0.010857,50.817439,0.000111,56.471390,0.001425
110,64.032698,0.015285,64.918256,0.024699,60.422343,0.004084
160,61.784741,0.016126,62.397820,0.017585,61.716621,0.015978
210,62.329700,0.016793,60.899183,0.011724,63.555858,0.018627
260,64.373297,0.016960,65.054496,0.016532,64.509537,0.017640
310,66.212534,0.019885,67.029973,0.028099,64.850136,0.014038
360,66.825613,0.021316,67.166213,0.030382,64.713896,0.015209
410,67.370572,0.023882,65.871935,0.028453,65.190736,0.016274
460,67.574932,0.025838,65.463215,0.028571,65.735695,0.014676
