# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,58.038147,0.003540,58.038147,0.003540,58.038147,0.003540
60,61.716621,0.019329,53.746594,0.006640,56.471390,0.001425
110,59.400545,0.011863,59.536785,0.007492,60.422343,0.004084
160,61.035422,0.013146,61.716621,0.012061,61.716621,0.015978
210,61.171662,0.010680,62.057221,0.016079,63.555858,0.018627
260,62.806540,0.012356,64.237057,0.023559,64.509537,0.017640
310,65.190736,0.013997,65.054496,0.019410,64.850136,0.014038
360,65.667575,0.018847,65.463215,0.020008,64.509537,0.015950
410,66.485014,0.019637,66.621253,0.024431,65.531335,0.016687
460,67.098093,0.017676,67.370572,0.023565,65.395095,0.014481
