# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,57.016349,0.006085,57.016349,0.006085,57.016349,0.006085
60,59.128065,0.009593,50.817439,0.000001,56.471390,0.001425
110,60.149864,0.005656,54.836512,0.000162,60.422343,0.004084
160,60.081744,0.011743,57.561308,0.015464,61.716621,0.015978
210,62.670300,0.009330,64.100817,0.021026,63.555858,0.018627
260,65.463215,0.014071,65.940054,0.018452,64.509537,0.017640
310,64.032698,0.013110,66.212534,0.019786,64.850136,0.014038
360,65.463215,0.014792,66.621253,0.021001,64.509537,0.015950
410,65.871935,0.014882,66.621253,0.021078,65.531335,0.016687
460,65.803815,0.013824,65.871935,0.022694,65.395095,0.014481
