# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,55.653951,0.006719,55.653951,0.006719,55.653951,0.006719
60,59.877384,0.009173,57.356948,0.009841,56.471390,0.001425
110,61.035422,0.013233,60.081744,0.011182,60.422343,0.004084
160,61.512262,0.012562,60.967302,0.009235,61.716621,0.015978
210,61.580381,0.009818,64.237057,0.020483,63.555858,0.018627
260,61.920981,0.009815,65.463215,0.018090,64.509537,0.017640
310,65.054496,0.010303,67.302452,0.019794,64.850136,0.014038
360,65.531335,0.011775,66.348774,0.017994,64.509537,0.015950
410,65.871935,0.007141,66.280654,0.014763,65.531335,0.016687
460,65.463215,0.006674,66.280654,0.016352,65.395095,0.014481
