# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,51.089918,0.000614,51.089918,0.000614,51.089918,0.000614
60,58.242507,0.004852,58.106267,0.010712,56.471390,0.001425
110,61.444142,0.024890,60.626703,0.011622,60.422343,0.004084
160,63.896458,0.024469,63.283379,0.012774,61.716621,0.015978
210,66.144414,0.021698,63.147139,0.013062,63.555858,0.018627
260,66.076294,0.016861,62.534060,0.014382,64.509537,0.017640
310,64.441417,0.018269,64.713896,0.011871,64.850136,0.014038
360,65.803815,0.020402,64.782016,0.015693,64.713896,0.015209
410,66.961853,0.017439,65.326975,0.015675,65.190736,0.016274
460,67.166213,0.020925,65.599455,0.016294,65.667575,0.014580
