# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,54.836512,0.000859,54.836512,0.000859,54.836512,0.000859
60,55.653951,0.007245,58.855586,0.009305,56.471390,0.001425
110,63.896458,0.014681,58.514986,0.015600,60.422343,0.004084
160,60.694823,0.015500,62.738420,0.019482,61.716621,0.015978
210,64.100817,0.020539,64.032698,0.016485,63.760218,0.018650
260,65.463215,0.028537,64.032698,0.020935,64.100817,0.018826
310,64.782016,0.022071,62.874659,0.021913,64.850136,0.013545
360,66.076294,0.021510,63.964578,0.024283,64.441417,0.015077
410,66.893733,0.021726,65.735695,0.025027,65.258856,0.014292
460,67.302452,0.019523,65.871935,0.024945,65.463215,0.015675
