# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,57.629428,0.012123,57.629428,0.012123,57.629428,0.012123
60,60.694823,0.016035,59.400545,0.010259,56.471390,0.001425
110,61.580381,0.010897,57.901907,0.016503,60.422343,0.004084
160,62.534060,0.010935,62.125341,0.027543,61.716621,0.015978
210,61.648501,0.017076,66.280654,0.024872,63.555858,0.018627
260,63.351499,0.014676,66.212534,0.022678,64.509537,0.017640
310,64.032698,0.015170,67.643052,0.021674,64.850136,0.014038
360,63.828338,0.014134,66.416894,0.020843,64.645777,0.014833
410,64.441417,0.017418,67.302452,0.019394,65.122616,0.015171
460,64.713896,0.018326,67.098093,0.019093,65.599455,0.015171
