# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,58.106267,0.104986,58.106267,0.104986,58.106267,0.104986
20,52.861035,0.000781,57.833787,0.150130,52.724796,0.004674
30,56.471390,0.097191,58.310627,0.116297,58.378747,0.120828
40,55.449591,0.112480,57.629428,0.103777,58.719346,0.126207
50,57.493188,0.082660,57.697548,0.114058,57.901907,0.065586
60,58.106267,0.107504,59.400545,0.117643,56.471390,0.053016
70,59.128065,0.116457,60.694823,0.120093,56.267030,0.048387
80,60.626703,0.139314,61.035422,0.122768,57.152589,0.052683
90,61.580381,0.155782,60.899183,0.115745,59.809264,0.084338
100,61.376022,0.145416,61.580381,0.118944,60.762943,0.062937
110,61.852861,0.168559,61.784741,0.110641,60.422343,0.070795
120,61.920981,0.153775,61.920981,0.118891,58.991826,0.100077
130,63.215259,0.153355,60.967302,0.109752,58.787466,0.123354
140,62.602180,0.133913,60.490463,0.095221,58.446866,0.142146
150,62.261580,0.130236,61.171662,0.108468,60.490463,0.146486
160,62.534060,0.143815,60.967302,0.118941,61.716621,0.163627
170,62.397820,0.152934,60.831063,0.125522,63.419619,0.166353
180,62.602180,0.157818,61.035422,0.128278,64.782016,0.169217
190,63.215259,0.162695,61.444142,0.127002,65.463215,0.185285
200,64.100817,0.154751,62.602180,0.147878,64.373297,0.178738
