# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,57.288828,0.118379,57.288828,0.118379,57.288828,0.118379
20,55.381471,0.036427,49.591281,0.008691,52.724796,0.004674
30,57.084469,0.076383,52.724796,0.000000,58.378747,0.120828
40,59.059946,0.095176,52.724796,0.003156,58.719346,0.126207
50,59.059946,0.105209,52.724796,0.000000,57.901907,0.065586
60,59.128065,0.088254,55.381471,0.020823,56.471390,0.053016
70,57.084469,0.084729,53.405995,0.009266,56.267030,0.048387
80,57.425068,0.066997,59.468665,0.089898,57.152589,0.052683
90,58.719346,0.085389,60.626703,0.143938,59.809264,0.084338
100,58.242507,0.076015,61.171662,0.146548,60.762943,0.062937
110,59.468665,0.107005,62.329700,0.160513,60.422343,0.070795
120,61.444142,0.114813,62.057221,0.159305,58.991826,0.100077
130,60.762943,0.114614,61.989101,0.176008,58.787466,0.123354
140,60.558583,0.107710,63.419619,0.158707,58.446866,0.142146
150,60.626703,0.113642,62.738420,0.159265,60.490463,0.146486
160,60.831063,0.124535,63.351499,0.169885,61.716621,0.163627
170,61.171662,0.125717,63.351499,0.169416,63.419619,0.166353
180,62.806540,0.131101,63.010899,0.154588,64.782016,0.169217
190,62.806540,0.133705,63.419619,0.156969,65.258856,0.178439
200,62.057221,0.134801,64.645777,0.160658,64.577657,0.175442
