# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,49.250681,0.079415,49.250681,0.079415,49.250681,0.079415
20,53.201635,0.008046,56.948229,0.101876,52.724796,0.004674
30,57.425068,0.054866,57.288828,0.059714,58.378747,0.120828
40,57.833787,0.049017,58.923706,0.068959,58.719346,0.126207
50,57.833787,0.084259,59.809264,0.111773,57.901907,0.065586
60,59.468665,0.111990,60.081744,0.123821,56.471390,0.053016
70,60.490463,0.118463,60.831063,0.150285,56.267030,0.048387
80,59.877384,0.118202,60.490463,0.132636,57.152589,0.052683
90,58.174387,0.123490,60.899183,0.144431,59.809264,0.084338
100,58.446866,0.123456,61.376022,0.152643,60.762943,0.062937
110,60.013624,0.129893,61.648501,0.130292,60.422343,0.070795
120,59.332425,0.127422,59.809264,0.151142,58.991826,0.100077
130,62.329700,0.153321,59.468665,0.149376,58.787466,0.123354
140,62.125341,0.153617,60.831063,0.134077,58.446866,0.142146
150,63.896458,0.160608,59.877384,0.140872,60.490463,0.146486
160,63.828338,0.175601,59.673025,0.144536,61.716621,0.163627
170,62.670300,0.169217,59.741144,0.146537,63.828338,0.163526
180,62.942779,0.158999,60.490463,0.160991,65.531335,0.170234
190,62.942779,0.164625,60.831063,0.162808,65.803815,0.158104
200,62.942779,0.172538,60.626703,0.164033,65.054496,0.177328
