# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,46.321526,0.018365,46.321526,0.018365,46.321526,0.018365
60,51.907357,0.103802,61.444142,0.137895,56.471390,0.053016
110,56.403270,0.115521,67.098093,0.123784,60.422343,0.070795
160,60.762943,0.176308,64.237057,0.148444,61.716621,0.163627
210,60.899183,0.162384,66.757493,0.157442,63.555858,0.172799
260,63.692098,0.150688,66.008174,0.182392,64.509537,0.164735
310,64.373297,0.150664,66.008174,0.184303,64.850136,0.147941
360,63.964578,0.163257,65.599455,0.189069,64.509537,0.160197
410,63.147139,0.189186,66.621253,0.173983,65.531335,0.161520
460,63.692098,0.187764,67.029973,0.178968,65.395095,0.147277
