# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,51.771117,0.058732,51.771117,0.058732,51.771117,0.058732
60,61.512262,0.157487,56.130790,0.043349,56.471390,0.053016
110,59.196185,0.164584,56.675749,0.079997,60.422343,0.070795
160,58.310627,0.159350,57.493188,0.084341,61.716621,0.163627
210,57.629428,0.147682,65.395095,0.141038,64.237057,0.172616
260,62.057221,0.165623,62.942779,0.172243,64.032698,0.175753
310,62.942779,0.185840,65.803815,0.176665,64.918256,0.147338
360,63.692098,0.184468,65.531335,0.194370,64.577657,0.154603
410,63.487738,0.190527,66.212534,0.189245,65.258856,0.155487
460,63.623978,0.189161,66.008174,0.178367,65.667575,0.149804
