# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,54.564033,0.026480,54.564033,0.026480,54.564033,0.026480
60,54.495913,0.057628,61.784741,0.059839,56.471390,0.053016
110,59.196185,0.169634,61.716621,0.158230,60.422343,0.070795
160,57.561308,0.101796,62.806540,0.112633,61.716621,0.163627
210,57.152589,0.122050,65.599455,0.163730,63.555858,0.172799
260,61.103542,0.167895,65.395095,0.182635,64.509537,0.164735
310,62.465940,0.180273,65.871935,0.177525,64.986376,0.150240
360,62.806540,0.195117,67.302452,0.200935,64.713896,0.156317
410,62.397820,0.188154,67.643052,0.193093,65.190736,0.159437
460,63.079019,0.186644,68.392371,0.183275,65.599455,0.146318
