# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,55.722071,0.116067,55.722071,0.116067,55.722071,0.116067
60,59.196185,0.104868,59.128065,0.142005,56.471390,0.053016
110,59.536785,0.113854,63.147139,0.155379,60.422343,0.070795
160,58.651226,0.109449,64.237057,0.177550,61.716621,0.163627
210,59.332425,0.119457,64.441417,0.169255,64.441417,0.169111
260,59.673025,0.119153,65.122616,0.170766,64.032698,0.171079
310,59.196185,0.115990,65.667575,0.170029,64.918256,0.149883
360,59.128065,0.122588,65.258856,0.180487,64.645777,0.159416
410,62.670300,0.143502,66.076294,0.199388,65.258856,0.159844
460,62.942779,0.146614,65.667575,0.192592,65.735695,0.149944
