# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,58.174387,0.089458,58.174387,0.089458,58.174387,0.089458
20,58.038147,0.101282,58.719346,0.099195,52.724796,0.004674
30,58.514986,0.118858,61.307902,0.116748,58.378747,0.120828
40,57.493188,0.038704,58.038147,0.140825,58.719346,0.126207
50,57.084469,0.034829,59.400545,0.127878,57.901907,0.065586
60,57.629428,0.035427,60.490463,0.148375,56.471390,0.053016
70,56.539510,0.040926,61.171662,0.160143,56.267030,0.048387
80,56.607629,0.043611,61.852861,0.152790,57.152589,0.052683
90,57.765668,0.041123,60.694823,0.166012,59.809264,0.084338
100,57.356948,0.039694,61.307902,0.154205,60.762943,0.062937
110,55.245232,0.021964,61.716621,0.165567,60.422343,0.070795
120,54.427793,0.016267,61.512262,0.153830,58.991826,0.100077
130,53.269755,0.015282,61.580381,0.153386,58.787466,0.123354
140,53.882834,0.007956,61.376022,0.154287,58.446866,0.142146
150,53.474114,0.006411,61.648501,0.164785,60.490463,0.146486
160,53.542234,0.008113,61.580381,0.178192,61.716621,0.163627
170,53.678474,0.014558,62.057221,0.184911,63.419619,0.166353
180,54.972752,0.025604,62.670300,0.175975,64.782016,0.169217
190,64.100817,0.111286,62.397820,0.168982,65.803815,0.168621
200,65.735695,0.145299,62.465940,0.174546,64.713896,0.167816
