# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,54.495913,0.017386,54.495913,0.017386,54.495913,0.017386
20,53.950954,0.012388,50.749319,0.041897,52.724796,0.004674
30,51.702997,0.005212,47.275204,0.000000,58.378747,0.120828
40,53.678474,0.020788,50.817439,0.051443,58.719346,0.126207
50,56.811989,0.110374,52.792916,0.091668,57.901907,0.065586
60,58.174387,0.147011,49.931880,0.003852,56.471390,0.053016
70,59.400545,0.160589,55.653951,0.031302,56.267030,0.048387
80,58.174387,0.158689,65.054496,0.124771,57.152589,0.052683
90,56.062670,0.112956,61.580381,0.179020,59.809264,0.084338
100,59.264305,0.156349,61.376022,0.178718,60.762943,0.062937
110,58.991826,0.142504,62.465940,0.194512,60.422343,0.070795
120,57.220708,0.152376,61.784741,0.174722,58.991826,0.100077
130,56.811989,0.162099,60.490463,0.173201,58.787466,0.123354
140,57.288828,0.156873,63.079019,0.191225,58.446866,0.142146
150,56.743869,0.152019,62.329700,0.194168,60.490463,0.146486
160,56.267030,0.150609,63.487738,0.210701,61.716621,0.163627
170,55.722071,0.142041,63.283379,0.220582,63.419619,0.166353
180,55.245232,0.135272,62.874659,0.204229,64.782016,0.169217
190,56.743869,0.155792,61.920981,0.219672,65.803815,0.168621
200,56.948229,0.161268,61.444142,0.198022,64.713896,0.167816
