# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,57.970027,0.049942,57.970027,0.049942,57.970027,0.049942
20,52.724796,0.003156,50.408719,0.022094,52.724796,0.004674
30,51.566757,0.088130,53.474114,0.101250,58.378747,0.120828
40,51.498638,0.092073,49.727520,0.006349,58.719346,0.126207
50,60.626703,0.128897,49.523161,0.021994,57.901907,0.065586
60,61.239782,0.171277,49.863760,0.002575,56.471390,0.053016
70,60.354223,0.178630,48.365123,0.042262,56.267030,0.048387
80,60.831063,0.125292,48.092643,0.023215,57.152589,0.052683
90,60.422343,0.121317,51.021798,0.020836,59.809264,0.084338
100,60.217984,0.128428,56.607629,0.095979,60.762943,0.062937
110,60.149864,0.156001,62.534060,0.196997,60.422343,0.070795
120,59.673025,0.161711,62.125341,0.189299,58.991826,0.100077
130,58.446866,0.165812,65.326975,0.202887,58.787466,0.123354
140,59.809264,0.119439,65.871935,0.195053,58.446866,0.142146
150,59.536785,0.116486,63.896458,0.208098,60.490463,0.146486
160,58.991826,0.127515,66.212534,0.175135,61.716621,0.163627
170,57.084469,0.140831,65.463215,0.160998,63.419619,0.166353
180,57.629428,0.145894,67.234332,0.186456,64.782016,0.169217
190,57.493188,0.148003,66.416894,0.169784,64.850136,0.175633
200,58.719346,0.137258,67.438692,0.161975,64.373297,0.177519
