# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,55.040872,0.052031,55.040872,0.052031,55.040872,0.052031
20,57.561308,0.057389,49.727520,0.039743,52.724796,0.004674
30,58.855586,0.048316,53.950954,0.015966,58.378747,0.120828
40,57.629428,0.102335,60.354223,0.160728,58.719346,0.126207
50,58.446866,0.049870,52.520436,0.005900,57.901907,0.065586
60,56.811989,0.043634,52.520436,0.005900,56.471390,0.053016
70,61.103542,0.128396,53.065395,0.005747,56.267030,0.048387
80,60.286104,0.143902,54.087193,0.010669,57.152589,0.052683
90,58.514986,0.151864,56.403270,0.057771,59.809264,0.084338
100,58.038147,0.146255,55.245232,0.036953,60.762943,0.062937
110,57.220708,0.154974,55.245232,0.036686,60.422343,0.070795
120,57.152589,0.148992,54.836512,0.028920,58.991826,0.100077
130,57.901907,0.155433,54.904632,0.031206,58.787466,0.123354
140,58.310627,0.159942,57.084469,0.048924,58.446866,0.142146
150,58.446866,0.152842,59.264305,0.068337,60.490463,0.146486
160,58.651226,0.162776,61.852861,0.094279,61.716621,0.163627
170,59.809264,0.152267,63.147139,0.100084,63.419619,0.166353
180,57.765668,0.147017,63.964578,0.125930,64.782016,0.169217
190,58.991826,0.149985,64.509537,0.139216,65.803815,0.168621
200,58.991826,0.146746,62.806540,0.142073,64.713896,0.167816
