# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,53.405995,0.081832,53.405995,0.081832,53.405995,0.081832
20,56.198910,0.038172,53.405995,0.033597,52.724796,0.004674
30,58.446866,0.064026,56.811989,0.165020,58.378747,0.120828
40,57.901907,0.066783,53.746594,0.016035,58.719346,0.126207
50,59.945504,0.117172,57.493188,0.083944,57.901907,0.065586
60,56.403270,0.037055,60.013624,0.117587,56.471390,0.053016
70,57.901907,0.136029,61.989101,0.133985,56.267030,0.048387
80,57.220708,0.136162,63.623978,0.141245,57.152589,0.052683
90,56.539510,0.115897,64.986376,0.146555,59.809264,0.084338
100,57.765668,0.135375,64.168937,0.170039,60.762943,0.062937
110,58.106267,0.130873,63.555858,0.180330,60.422343,0.070795
120,59.059946,0.125405,63.147139,0.191279,58.991826,0.100077
130,59.741144,0.112995,62.465940,0.173934,58.787466,0.123354
140,61.035422,0.142221,63.964578,0.187249,58.446866,0.142146
150,59.536785,0.183316,62.874659,0.191622,60.490463,0.146486
160,61.376022,0.132193,63.147139,0.179283,61.716621,0.163627
170,61.580381,0.136601,64.509537,0.166171,63.419619,0.166353
180,61.852861,0.133719,64.237057,0.160021,64.782016,0.169217
190,61.171662,0.148869,66.076294,0.144504,65.803815,0.168621
200,59.809264,0.160237,65.395095,0.124736,64.713896,0.167816
