# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,49.182561,0.063714,49.182561,0.063714,49.182561,0.063714
60,56.062670,0.035347,61.989101,0.132376,56.471390,0.053016
110,61.648501,0.149393,61.307902,0.168148,60.422343,0.070795
160,62.465940,0.174230,62.942779,0.154628,61.716621,0.163627
210,63.215259,0.167752,65.395095,0.189530,63.555858,0.172799
260,64.782016,0.185549,64.918256,0.188546,64.237057,0.175112
310,65.258856,0.163682,65.735695,0.181263,64.918256,0.148665
360,65.871935,0.155172,66.485014,0.191050,64.577657,0.150989
410,67.098093,0.153732,65.190736,0.179771,64.850136,0.151829
460,66.485014,0.145832,65.122616,0.181009,65.531335,0.150535
