# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,55.313351,0.029162,55.313351,0.029162,55.313351,0.029162
60,60.217984,0.096408,62.738420,0.186574,56.471390,0.053016
110,59.196185,0.059027,63.760218,0.180763,60.422343,0.070795
160,61.239782,0.107403,63.215259,0.147915,61.648501,0.168262
210,62.329700,0.148603,62.602180,0.186439,64.509537,0.165904
260,62.806540,0.146299,66.212534,0.186525,64.373297,0.165516
310,64.645777,0.147119,66.689373,0.183269,64.713896,0.151276
360,65.599455,0.144305,66.076294,0.188259,64.782016,0.161715
410,66.008174,0.123698,66.553134,0.177890,65.122616,0.160307
460,66.553134,0.127268,67.166213,0.182501,65.667575,0.145397
