# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,58.446866,0.129047,58.446866,0.129047,58.446866,0.129047
60,59.536785,0.112981,61.512262,0.083216,56.471390,0.053016
110,61.852861,0.104592,62.806540,0.065093,60.422343,0.070795
160,61.648501,0.142785,62.125341,0.102216,61.716621,0.163627
210,63.760218,0.147971,64.032698,0.154120,63.760218,0.171213
260,63.283379,0.150752,63.964578,0.146602,63.964578,0.165523
310,62.670300,0.170839,65.258856,0.168593,64.713896,0.145375
360,64.032698,0.169029,64.713896,0.201724,64.645777,0.157822
410,65.190736,0.162676,65.735695,0.217545,65.190736,0.159437
460,65.599455,0.156185,65.190736,0.229442,65.667575,0.144387
