# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,50.681199,0.002434,50.681199,0.002434,50.681199,0.002434
20,52.588556,0.000216,54.495913,0.000000,52.724796,0.001472
30,48.024523,0.001318,56.335150,0.001300,58.378747,0.008790
40,55.790191,0.000082,54.359673,0.000109,58.719346,0.009463
50,61.171662,0.004746,56.062670,0.001138,57.901907,0.003310
60,58.174387,0.000015,56.880109,0.001602,56.471390,0.001425
70,58.038147,0.000001,59.741144,0.003131,56.267030,0.001369
80,54.495913,0.000143,60.694823,0.005448,57.152589,0.001617
90,54.700272,0.000162,61.239782,0.008721,59.809264,0.004597
100,60.899183,0.003226,60.694823,0.008548,60.762943,0.003163
110,61.512262,0.008156,61.103542,0.009235,60.422343,0.004084
120,61.171662,0.005956,60.694823,0.011358,58.991826,0.006998
130,63.010899,0.011199,60.967302,0.009085,58.787466,0.009809
140,62.397820,0.015069,62.874659,0.012420,58.446866,0.012147
150,63.351499,0.013426,64.168937,0.010427,60.490463,0.013057
160,62.397820,0.010448,64.645777,0.015363,61.716621,0.015978
170,62.193460,0.009386,65.122616,0.014382,63.419619,0.017114
180,62.534060,0.007883,65.599455,0.015006,64.782016,0.017967
190,62.329700,0.009390,65.054496,0.016237,65.803815,0.018311
200,63.964578,0.010825,65.599455,0.017307,64.713896,0.018513
