# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,53.746594,0.001448,53.746594,0.001448,53.746594,0.001448
20,54.155313,0.011579,58.719346,0.011453,52.724796,0.001472
30,56.335150,0.018932,61.716621,0.011481,58.378747,0.008790
40,52.452316,0.007929,61.512262,0.016640,58.719346,0.009463
50,54.700272,0.015211,60.081744,0.014702,57.901907,0.003310
60,56.267030,0.018721,59.945504,0.011042,56.471390,0.001425
70,59.604905,0.015820,61.512262,0.008780,56.267030,0.001369
80,57.970027,0.021759,61.852861,0.013891,57.152589,0.001617
90,63.010899,0.018026,61.512262,0.015377,59.809264,0.004597
100,64.441417,0.015701,61.307902,0.014832,60.762943,0.003163
110,63.555858,0.017261,62.670300,0.010761,60.422343,0.004084
120,63.419619,0.012151,63.010899,0.011652,58.991826,0.006998
130,62.465940,0.012218,63.487738,0.012541,58.787466,0.009809
140,62.193460,0.012725,63.760218,0.012025,58.446866,0.012147
150,61.376022,0.011572,63.692098,0.017757,60.490463,0.013057
160,61.239782,0.012690,63.964578,0.015527,61.716621,0.015978
170,62.193460,0.013464,64.918256,0.017424,63.419619,0.017114
180,62.465940,0.011848,65.463215,0.022070,64.782016,0.017967
190,62.806540,0.015669,65.258856,0.020069,65.803815,0.018311
200,62.534060,0.015894,63.079019,0.020738,64.713896,0.018513
