# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,54.223433,0.006669,54.223433,0.006669,54.223433,0.006669
20,58.514986,0.009973,55.313351,0.007141,52.724796,0.001472
30,59.128065,0.009200,56.335150,0.007831,58.378747,0.008790
40,59.468665,0.007360,60.286104,0.010454,58.719346,0.009463
50,60.149864,0.009786,61.307902,0.011560,57.901907,0.003310
60,63.351499,0.020309,60.899183,0.009201,56.471390,0.001425
70,59.059946,0.012431,61.580381,0.011887,56.267030,0.001369
80,62.942779,0.019381,61.376022,0.012029,57.152589,0.001617
90,62.329700,0.018081,61.307902,0.012012,59.809264,0.004597
100,62.125341,0.014845,60.762943,0.011179,60.762943,0.003163
110,61.920981,0.010269,61.716621,0.012930,60.422343,0.004084
120,62.465940,0.007910,61.307902,0.014549,58.991826,0.006998
130,59.809264,0.007934,60.967302,0.013883,58.787466,0.009809
140,59.264305,0.006597,61.103542,0.012290,58.446866,0.012147
150,60.422343,0.006731,60.967302,0.011948,60.490463,0.013057
160,59.945504,0.008319,61.035422,0.013279,61.716621,0.015978
170,60.626703,0.008857,61.716621,0.013501,63.419619,0.017114
180,60.354223,0.012426,62.397820,0.012182,64.782016,0.017967
190,62.193460,0.013516,63.010899,0.011573,65.803815,0.018311
200,62.874659,0.012204,63.351499,0.013070,64.713896,0.018513
