# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,57.765668,0.003123,57.765668,0.003123,57.765668,0.003123
20,54.904632,0.000520,56.607629,0.006588,52.656676,0.001104
30,61.648501,0.012280,59.332425,0.008252,60.422343,0.013141
40,58.583106,0.001955,56.675749,0.000983,58.310627,0.012396
50,59.536785,0.006543,55.926431,0.000989,55.449591,0.000002
60,61.784741,0.010035,56.675749,0.000968,55.858311,0.000696
70,60.762943,0.008010,57.493188,0.001478,55.722071,0.000000
80,60.694823,0.009936,57.561308,0.001541,56.607629,0.000611
90,60.149864,0.009739,57.901907,0.002518,60.013624,0.002959
100,60.286104,0.015790,61.103542,0.010068,60.626703,0.004459
110,62.261580,0.016296,59.945504,0.008987,60.354223,0.003826
120,62.057221,0.017896,61.035422,0.012100,59.468665,0.011752
130,62.193460,0.016701,61.648501,0.011821,58.719346,0.010449
140,62.057221,0.017778,62.465940,0.014676,58.787466,0.012033
150,61.852861,0.017485,62.602180,0.013719,61.376022,0.014621
160,63.283379,0.021094,63.487738,0.011324,61.716621,0.015978
170,63.487738,0.022325,64.577657,0.013894,63.487738,0.016904
180,63.010899,0.017902,64.441417,0.014563,65.395095,0.018969
190,63.555858,0.019152,65.054496,0.015931,65.531335,0.019540
200,63.079019,0.020311,65.871935,0.018067,64.850136,0.018142
