# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,44.141689,0.000207,44.141689,0.000207,44.141689,0.000207
20,46.389646,0.003743,44.754768,0.000624,52.724796,0.001472
30,51.089918,0.001360,52.724796,0.000000,58.378747,0.008790
40,50.476839,0.001538,52.861035,0.000736,58.719346,0.009463
50,53.269755,0.001141,52.656676,0.000368,57.901907,0.003310
60,56.607629,0.000183,59.945504,0.012769,56.471390,0.001425
70,54.019074,0.000569,59.468665,0.009965,56.267030,0.001369
80,58.174387,0.003262,59.809264,0.009639,57.152589,0.001617
90,60.899183,0.006105,58.106267,0.004485,59.809264,0.004597
100,63.964578,0.005664,58.923706,0.002794,60.762943,0.003163
110,63.692098,0.005922,58.855586,0.001773,60.422343,0.004084
120,60.081744,0.003621,58.038147,0.001055,58.991826,0.006998
130,64.645777,0.011177,57.356948,0.000473,58.787466,0.009809
140,65.395095,0.011120,58.446866,0.008939,58.446866,0.012147
150,64.509537,0.007098,57.220708,0.003641,60.490463,0.013057
160,65.054496,0.010535,61.103542,0.005102,61.716621,0.015978
170,66.416894,0.016187,61.920981,0.011850,63.419619,0.017114
180,65.395095,0.014292,60.694823,0.011216,64.782016,0.017967
190,66.144414,0.017687,63.760218,0.012844,65.803815,0.018311
200,65.054496,0.021098,64.577657,0.015906,64.713896,0.018513
