# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,52.861035,0.004141,52.861035,0.004141,52.861035,0.004141
20,45.844687,0.000254,58.514986,0.009476,52.724796,0.001472
30,46.049046,0.000015,59.536785,0.009549,58.378747,0.008790
40,48.501362,0.000317,58.378747,0.010097,58.719346,0.009463
50,58.174387,0.013927,57.833787,0.009609,57.901907,0.003310
60,56.539510,0.013401,57.356948,0.008162,56.471390,0.001425
70,57.833787,0.011820,58.242507,0.009690,56.267030,0.001369
80,59.400545,0.017543,57.765668,0.010123,57.152589,0.001617
90,61.784741,0.017915,57.152589,0.008674,59.809264,0.004597
100,61.444142,0.017734,57.016349,0.007510,60.762943,0.003163
110,63.215259,0.015062,56.471390,0.006845,60.422343,0.004084
120,62.397820,0.019047,56.948229,0.007598,58.991826,0.006998
130,61.103542,0.014868,56.948229,0.007820,58.787466,0.009809
140,61.239782,0.017857,57.084469,0.008530,58.446866,0.012147
150,62.057221,0.018855,57.016349,0.008437,60.490463,0.013057
160,64.305177,0.020190,57.833787,0.009610,61.716621,0.015978
170,64.441417,0.017229,57.016349,0.008795,63.419619,0.017114
180,64.509537,0.020991,58.310627,0.009332,64.782016,0.017967
190,64.782016,0.025106,58.923706,0.010003,65.803815,0.018311
200,63.828338,0.026733,59.877384,0.012440,64.713896,0.018513
