# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,56.062670,0.000547,56.062670,0.000547,56.062670,0.000547
20,55.108992,0.003488,52.724796,0.000000,52.724796,0.001472
30,56.811989,0.007415,57.493188,0.002615,58.378747,0.008790
40,52.316076,0.008657,61.716621,0.010443,58.719346,0.009463
50,56.675749,0.008311,61.716621,0.008782,57.901907,0.003310
60,53.814714,0.004243,59.673025,0.001935,56.471390,0.001425
70,56.130790,0.007154,59.945504,0.002519,56.267030,0.001369
80,57.356948,0.009973,58.991826,0.010965,57.152589,0.001617
90,58.378747,0.010031,62.534060,0.015162,60.149864,0.004227
100,58.514986,0.007988,63.623978,0.017474,60.013624,0.003540
110,56.675749,0.008164,62.465940,0.018972,59.945504,0.005486
120,57.288828,0.007535,64.168937,0.020128,59.196185,0.010258
130,58.310627,0.009009,64.441417,0.013445,58.514986,0.010430
140,60.490463,0.015366,63.079019,0.023729,58.378747,0.011515
150,61.035422,0.018120,65.122616,0.024953,59.673025,0.012532
160,61.852861,0.016644,64.237057,0.023854,61.716621,0.015853
170,62.329700,0.016090,63.760218,0.020757,62.874659,0.014848
180,61.512262,0.016024,64.918256,0.018087,64.918256,0.019986
190,61.512262,0.015712,65.122616,0.016525,64.918256,0.019867
200,63.215259,0.014812,65.395095,0.015944,64.441417,0.019372
