# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,48.910082,0.001645,48.910082,0.001645,48.910082,0.001645
60,59.741144,0.012516,56.880109,0.011244,56.471390,0.001425
110,62.397820,0.018012,58.174387,0.013492,60.422343,0.004084
160,62.738420,0.018950,60.149864,0.015307,61.716621,0.015978
210,64.237057,0.017219,64.373297,0.020992,63.555858,0.018627
260,62.874659,0.018268,65.054496,0.025793,64.509537,0.017640
310,64.305177,0.017852,65.395095,0.023504,64.850136,0.014038
360,64.986376,0.016187,63.964578,0.019042,64.509537,0.015950
410,66.280654,0.016206,62.874659,0.017496,65.531335,0.016687
460,65.122616,0.019666,64.305177,0.019624,65.395095,0.014481
