# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,52.384196,0.008510,52.384196,0.008510,52.384196,0.008510
60,61.035422,0.009219,61.989101,0.008088,56.471390,0.001425
110,62.806540,0.010598,62.738420,0.016289,60.422343,0.004084
160,61.852861,0.015333,63.419619,0.018945,61.716621,0.015978
210,62.193460,0.017439,64.100817,0.016716,63.555858,0.018627
260,64.100817,0.017214,64.850136,0.018455,64.509537,0.017640
310,62.942779,0.015683,65.667575,0.015018,64.850136,0.014038
360,63.828338,0.017573,65.395095,0.013968,64.509537,0.015950
410,65.735695,0.015715,66.485014,0.014776,64.986376,0.015376
460,65.940054,0.014641,64.986376,0.016675,65.871935,0.015768
