# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,49.727520,0.005850,49.727520,0.005850,49.727520,0.005850
60,54.972752,0.002060,57.970027,0.011017,56.471390,0.001425
110,56.403270,0.003773,63.419619,0.018734,60.422343,0.004084
160,62.261580,0.014074,61.852861,0.014399,61.716621,0.015978
210,63.419619,0.014386,61.784741,0.014339,63.555858,0.018627
260,66.280654,0.020106,62.125341,0.017110,64.509537,0.017640
310,65.054496,0.017204,63.147139,0.018877,64.850136,0.014038
360,64.237057,0.021842,63.419619,0.019183,64.509537,0.015950
410,64.100817,0.022868,63.828338,0.022704,65.531335,0.016687
460,65.190736,0.020210,63.351499,0.018794,65.395095,0.014481
