# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,45.027248,0.000417,45.027248,0.000417,45.027248,0.000417
60,61.171662,0.014033,56.267030,0.008369,56.471390,0.001425
110,63.896458,0.017991,54.972752,0.004031,60.422343,0.004084
160,62.465940,0.017331,59.332425,0.015288,61.716621,0.015978
210,66.280654,0.015827,60.422343,0.018198,63.555858,0.018627
260,67.711172,0.019093,61.103542,0.020312,64.100817,0.018826
310,67.983651,0.022040,61.171662,0.018745,64.850136,0.013545
360,66.825613,0.021030,65.122616,0.020897,64.441417,0.015077
410,66.825613,0.023791,67.098093,0.024882,65.190736,0.015273
460,66.689373,0.020414,66.008174,0.023416,65.803815,0.015669
