# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,49.591281,0.007272,49.591281,0.007272,49.591281,0.007272
60,55.653951,0.006681,62.397820,0.011249,56.471390,0.001425
110,60.558583,0.012000,60.831063,0.015058,60.422343,0.004084
160,62.193460,0.014392,59.673025,0.011730,61.716621,0.015978
210,63.692098,0.013854,60.217984,0.015462,63.555858,0.018627
260,64.373297,0.015430,60.694823,0.016455,63.896458,0.018142
310,64.918256,0.013520,63.692098,0.013046,65.054496,0.014231
360,65.258856,0.015065,63.896458,0.013078,64.986376,0.016165
410,64.782016,0.015662,64.373297,0.017898,65.190736,0.016274
460,67.098093,0.019951,64.782016,0.018251,65.599455,0.014979
