# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,56.335150,0.006582,56.335150,0.006582,56.335150,0.006582
60,59.264305,0.004799,56.743869,0.009322,56.471390,0.001425
110,64.782016,0.013536,61.171662,0.012787,60.422343,0.004084
160,65.326975,0.016651,63.283379,0.012090,61.716621,0.015978
210,65.667575,0.016327,62.602180,0.014134,63.555858,0.018627
260,65.803815,0.019841,63.419619,0.015971,64.509537,0.017640
310,65.463215,0.017778,65.122616,0.017230,64.850136,0.014038
360,66.008174,0.019849,65.258856,0.016525,64.509537,0.015950
410,65.463215,0.022605,65.258856,0.020025,65.190736,0.016274
460,66.212534,0.021435,65.599455,0.022378,65.667575,0.014580
